ID,BattingTeam,total_score,city,extras
392192,Mumbai Indians,156,Durban,13
392192,Deccan Chargers,168,Durban,14
392194,Royal Challengers Bangalore,149,Port Elizabeth,11
392194,Delhi Daredevils,150,Port Elizabeth,4
392195,Kings XI Punjab,139,Cape Town,13
392195,Rajasthan Royals,112,Cape Town,10
392196,Chennai Super Kings,165,Durban,7
392196,Deccan Chargers,169,Durban,10
392197,Kolkata Knight Riders,95,Port Elizabeth,4
392197,Mumbai Indians,187,Port Elizabeth,9
392198,Delhi Daredevils,143,Centurion,5
392198,Rajasthan Royals,147,Centurion,9
392199,Royal Challengers Bangalore,143,Durban,9
392199,Kolkata Knight Riders,139,Durban,9
392200,Kings XI Punjab,119,Durban,17
392200,Mumbai Indians,116,Durban,11
392201,Deccan Chargers,148,Centurion,11
392201,Delhi Daredevils,150,Centurion,12
392202,Rajasthan Royals,126,Centurion,8
392202,Chennai Super Kings,164,Centurion,5
392203,Mumbai Indians,148,East London,13
392203,Kolkata Knight Riders,139,East London,8
392204,Kings XI Punjab,137,Durban,13
392204,Royal Challengers Bangalore,145,Durban,6
392205,Rajasthan Royals,142,Port Elizabeth,7
392205,Deccan Chargers,141,Port Elizabeth,7
392206,Delhi Daredevils,145,Johannesburg,3
392206,Chennai Super Kings,163,Johannesburg,9
392207,Kings XI Punjab,154,Port Elizabeth,10
392207,Kolkata Knight Riders,153,Port Elizabeth,7
392208,Mumbai Indians,149,Johannesburg,6
392208,Royal Challengers Bangalore,150,Johannesburg,8
392209,Chennai Super Kings,178,East London,10
392209,Deccan Chargers,100,East London,7
392210,Kings XI Punjab,133,Durban,19
392210,Rajasthan Royals,211,Durban,4
392211,Kolkata Knight Riders,154,Durban,4
392211,Delhi Daredevils,157,Durban,8
392212,Mumbai Indians,126,Centurion,3
392212,Deccan Chargers,145,Centurion,9
392213,Rajasthan Royals,107,Centurion,3
392213,Royal Challengers Bangalore,105,Centurion,5
392214,Kings XI Punjab,174,Centurion,6
392214,Chennai Super Kings,185,Centurion,6
392215,Mumbai Indians,116,East London,13
392215,Delhi Daredevils,118,East London,6
392216,Kings XI Punjab,169,Kimberley,9
392216,Deccan Chargers,168,Kimberley,7
392217,Rajasthan Royals,140,Kimberley,7
392217,Chennai Super Kings,141,Kimberley,10
392218,Royal Challengers Bangalore,141,Port Elizabeth,14
392218,Mumbai Indians,157,Port Elizabeth,7
392219,Kolkata Knight Riders,123,Johannesburg,8
392219,Delhi Daredevils,125,Johannesburg,13
392220,Rajasthan Royals,113,Kimberley,4
392220,Deccan Chargers,166,Kimberley,2
392221,Kolkata Knight Riders,173,Centurion,9
392221,Royal Challengers Bangalore,176,Centurion,9
392222,Kings XI Punjab,119,Centurion,18
392222,Mumbai Indians,122,Centurion,6
392223,Deccan Chargers,161,Durban,8
392223,Delhi Daredevils,173,Durban,12
392224,Royal Challengers Bangalore,132,Durban,8
392224,Chennai Super Kings,129,Durban,4
392225,Rajasthan Royals,145,Durban,7
392225,Mumbai Indians,143,Durban,18
392226,Delhi Daredevils,120,Bloemfontein,14
392226,Kings XI Punjab,123,Bloemfontein,9
392227,Mumbai Indians,147,Port Elizabeth,5
392227,Chennai Super Kings,151,Port Elizabeth,26
392228,Kolkata Knight Riders,160,Johannesburg,7
392228,Deccan Chargers,166,Johannesburg,7
392229,Kings XI Punjab,134,Johannesburg,7
392229,Deccan Chargers,133,Johannesburg,5
392230,Rajasthan Royals,136,Bloemfontein,13
392230,Delhi Daredevils,150,Bloemfontein,5
392231,Kolkata Knight Riders,189,Centurion,5
392231,Chennai Super Kings,188,Centurion,20
392232,Delhi Daredevils,134,Johannesburg,3
392232,Royal Challengers Bangalore,135,Johannesburg,3
392233,Rajasthan Royals,101,Durban,5
392233,Kolkata Knight Riders,102,Durban,5
392234,Kings XI Punjab,92,Durban,6
392234,Chennai Super Kings,116,Durban,7
392235,Mumbai Indians,165,Centurion,24
392235,Delhi Daredevils,166,Centurion,9
392236,Royal Challengers Bangalore,170,Centurion,2
392236,Deccan Chargers,158,Centurion,13
392237,Delhi Daredevils,153,Centurion,10
392237,Deccan Chargers,154,Centurion,6
392238,Royal Challengers Bangalore,149,Johannesburg,5
392238,Chennai Super Kings,146,Johannesburg,6
392239,Royal Challengers Bangalore,137,Johannesburg,10
392239,Deccan Chargers,143,Johannesburg,8
419106,Kolkata Knight Riders,161,Mumbai,15
419106,Deccan Chargers,150,Mumbai,12
419107,Mumbai Indians,212,Mumbai,16
419107,Rajasthan Royals,208,Mumbai,5
419108,Kings XI Punjab,142,Chandigarh,13
419108,Delhi Daredevils,146,Chandigarh,7
419109,Kolkata Knight Riders,136,Kolkata,6
419109,Royal Challengers Bangalore,135,Kolkata,5
419110,Chennai Super Kings,159,Chennai,3
419110,Deccan Chargers,190,Chennai,16
419111,Rajasthan Royals,141,Ahmedabad,5
419111,Delhi Daredevils,142,Ahmedabad,9
419112,Royal Challengers Bangalore,204,Bangalore,10
419112,Kings XI Punjab,203,Bangalore,13
419113,Chennai Super Kings,164,Kolkata,3
419113,Kolkata Knight Riders,109,Kolkata,8
419114,Mumbai Indians,218,Delhi,17
419114,Delhi Daredevils,120,Delhi,11
419115,Rajasthan Royals,92,Bangalore,7
419115,Royal Challengers Bangalore,93,Bangalore,7
419116,Chennai Super Kings,190,Delhi,10
419116,Delhi Daredevils,185,Delhi,10
419117,Deccan Chargers,170,Cuttack,1
419117,Kings XI Punjab,164,Cuttack,12
419118,Rajasthan Royals,168,Ahmedabad,8
419118,Kolkata Knight Riders,134,Ahmedabad,5
419119,Mumbai Indians,151,Mumbai,14
419119,Royal Challengers Bangalore,155,Mumbai,2
